MatchID|Team1|mu_rel_infield_suc_t1|std_rel_infield_suc_t1|med_rel_infield_suc_t1|score01|HAteam01|Team2|mu_rel_infield_suc_t2|std_rel_infield_suc_t2|med_rel_infield_suc_t2|score02|HAteam02
330816130|toronto_blue_jays|nan|nan|nan|4|[]|tampa_bay_rays|0.000000|0.000000|0.000000|5|Home
330816206|kansas_city_royals|32.000000|34.559128|19.500000|2|Away|detroit_tigers|7.166667|15.148341|0.000000|1|Home
330816306|kansas_city_royals|17.000000|30.648545|4.000000|3|Away|detroit_tigers|52.166667|63.617127|24.500000|0|Home
330817101|colorado_rockies|71.333333|101.868652|32.500000|4|Away|baltimore_orioles|15.500000|13.573872|9.500000|8|Home
330817102|new_york_yankees|27.000000|56.824291|2.000000|1|Away|boston_red_sox|nan|nan|nan|6|[]
330817103|houston_astros|0.500000|0.763763|0.000000|5|Away|los_angeles_angels|5.000000|11.180340|0.000000|6|Home
330817106|kansas_city_royals|62.666667|19.838235|63.500000|5|Away|detroit_tigers|29.300000|29.789428|27.500000|6|Home
330817108|cincinnati_reds|45.800000|98.001837|1.500000|0|Away|milwaukee_brewers|3.600000|7.770028|0.000000|2|Home
330817109|chicago_white_sox|nan|nan|nan|8|[]|minnesota_twins|30.000000|23.338095|14.000000|5|Home
330817111|cleveland_indians|18.666667|25.230053|6.500000|7|Away|oakland_athletics|1.833333|2.477678|1.000000|1|Home
330817113|seattle_mariners|18.333333|26.836956|0.000000|3|Away|texas_rangers|141.500000|53.187561|141.000000|15|Home
330817115|washington_nationals|36.600000|50.917973|1.000000|8|Away|atlanta_braves|8.666667|12.736649|0.000000|7|Home
330817116|st._louis_cardinals|14.333333|24.417662|2.500000|4|Away|chicago_cubs|10.333333|14.406789|0.500000|0|Home
330817122|los_angeles_dodgers|2.000000|3.214550|0.500000|5|Away|philadelphia_phillies|3.000000|8.671793|0.000000|0|Home
330817123|arizona_diamondbacks|0.000000|0.000000|0.000000|15|Away|pittsburgh_pirates|25.833333|37.109822|9.500000|5|Home
330817125|new_york_mets|2.666667|5.120764|0.000000|2|Away|san_diego_padres|6.333333|13.287421|0.000000|8|Home
