MatchID|Team1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1_bin|score01|HAteam01|Team2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|score02|HAteam02
400277915|boston_celtics|17.151515|52.298457|2.000000|116|away|orlando_magic|3.628205|8.176121|2.000000|110|home
400277917|san_antonio_spurs|47.075758|56.455483|29.000000|118|away|washington_wizards|4.923077|6.684788|3.000000|92|home
400277918|portland_trail_blazers|9.564103|19.478186|3.000000|101|away|detroit_pistons|30.717949|42.698675|4.000000|108|home
400277919|milwaukee_bucks|12.423077|17.934010|3.000000|93|away|chicago_bulls|29.848485|45.938115|5.000000|92|home
400277920|cleveland_cavaliers|6.051282|7.645843|2.000000|78|away|memphis_grizzlies|39.106061|41.044369|34.000000|84|home
400277921|charlotte_bobcats|1.439394|2.132922|1.000000|69|away|oklahoma_city_thunder|31.121212|48.920007|4.000000|114|home
400277922|denver_nuggets|20.525641|20.082346|17.500000|103|away|utah_jazz|21.217949|18.351726|15.500000|105|home
400277924|dallas_mavericks|6.393939|19.621323|2.000000|98|away|philadelphia_76ers|12.051282|19.274600|5.000000|100|home
400277925|phoenix_suns|10.282051|18.058237|4.000000|91|away|cleveland_cavaliers|6.051282|7.645843|2.000000|78|home
400277926|toronto_raptors|14.551282|23.780323|4.000000|101|away|houston_rockets|6.153846|17.021914|3.000000|117|home
400277927|minnesota_timberwolves|7.772727|14.227370|3.000000|97|away|sacramento_kings|17.782051|13.583217|22.000000|89|home
400277928|indiana_pacers|14.846154|21.204787|4.000000|79|away|los_angeles_lakers|15.287879|40.196776|0.000000|77|home
400277929|portland_trail_blazers|9.564103|19.478186|3.000000|82|away|washington_wizards|4.923077|6.684788|3.000000|84|home
400277930|san_antonio_spurs|58.615385|79.008151|29.000000|110|away|orlando_magic|3.628205|8.176121|2.000000|89|home
400277931|brooklyn_nets|5.820513|13.674554|3.000000|95|away|boston_celtics|17.151515|52.298457|2.000000|83|home
400277932|charlotte_bobcats|1.439394|2.132922|1.000000|91|away|atlanta_hawks|13.717949|43.389972|1.000000|94|home
400277933|phoenix_suns|10.282051|18.058237|4.000000|77|away|detroit_pistons|30.717949|42.698675|4.000000|117|home
400277934|dallas_mavericks|7.435897|21.141519|2.000000|78|away|chicago_bulls|29.848485|45.938115|5.000000|101|home
400277935|new_york_knicks|12.282051|26.762439|3.000000|102|away|milwaukee_bucks|12.423077|17.934010|3.000000|88|home
400277936|toronto_raptors|14.551282|23.780323|4.000000|82|away|memphis_grizzlies|39.106061|41.044369|34.000000|103|home
400277938|houston_rockets|6.672727|19.690380|2.000000|98|away|oklahoma_city_thunder|31.121212|48.920007|4.000000|120|home
400277939|minnesota_timberwolves|7.772727|14.227370|3.000000|95|away|los_angeles_clippers|16.424242|21.966269|5.000000|101|home
400277940|san_antonio_spurs|58.615385|79.008151|29.000000|100|away|miami_heat|58.974359|63.430757|41.500000|105|home
400277941|denver_nuggets|20.525641|20.082346|17.500000|105|away|golden_state_warriors|10.076923|11.368839|5.000000|106|home
400277942|phoenix_suns|10.333333|18.034630|4.000000|97|away|toronto_raptors|13.820513|24.149504|4.000000|101|home
400277943|philadelphia_76ers|12.051282|19.274600|5.000000|104|away|charlotte_bobcats|1.439394|2.132922|1.000000|98|home
400277944|brooklyn_nets|5.820513|13.674554|3.000000|98|away|orlando_magic|3.628205|8.176121|2.000000|86|home
400277945|portland_trail_blazers|9.564103|19.478186|3.000000|78|away|boston_celtics|14.743590|48.439080|2.000000|96|home
400277946|washington_wizards|4.923077|6.684788|3.000000|87|away|new_york_knicks|12.282051|26.762439|3.000000|108|home
400277947|cleveland_cavaliers|6.384615|7.721483|2.000000|113|away|atlanta_hawks|13.269231|43.271259|1.000000|111|home
400277948|detroit_pistons|30.948718|42.545269|4.000000|78|away|memphis_grizzlies|39.106061|41.044369|34.000000|90|home
400277949|utah_jazz|21.217949|18.351726|15.500000|94|away|oklahoma_city_thunder|42.581818|55.523522|6.000000|106|home
400277950|milwaukee_bucks|12.423077|17.934010|3.000000|85|away|minnesota_timberwolves|7.772727|14.227370|3.000000|95|home
400277951|indiana_pacers|14.846154|21.204787|4.000000|97|away|sacramento_kings|17.782051|13.583217|22.000000|92|home
400277952|denver_nuggets|20.525641|20.082346|17.500000|103|away|los_angeles_lakers|20.484848|42.503562|0.000000|122|home
400277953|brooklyn_nets|5.820513|13.674554|3.000000|89|away|miami_heat|58.974359|63.430757|41.500000|102|home
400277954|portland_trail_blazers|9.564103|19.478186|3.000000|118|away|cleveland_cavaliers|6.051282|7.645843|2.000000|117|home
400277955|philadelphia_76ers|12.051282|19.274600|5.000000|88|away|chicago_bulls|29.848485|45.938115|5.000000|93|home
400277957|utah_jazz|21.045455|17.256911|21.500000|116|away|houston_rockets|6.909091|18.398557|3.000000|124|home
400277958|boston_celtics|14.743590|48.439080|2.000000|88|away|milwaukee_bucks|13.717949|21.580438|3.000000|91|home
400277959|memphis_grizzlies|39.106061|41.044369|34.000000|95|away|san_antonio_spurs|65.712121|83.860412|33.000000|99|home
400277960|detroit_pistons|30.717949|42.698675|4.000000|77|away|dallas_mavericks|5.628205|18.730962|2.000000|92|home
400277961|sacramento_kings|17.782051|13.583217|22.000000|81|away|los_angeles_clippers|16.424242|21.966269|5.000000|116|home
400277962|indiana_pacers|14.384615|21.477616|4.000000|92|away|golden_state_warriors|10.076923|11.368839|5.000000|103|home
