MatchID|Team1ID|Team1|score_t1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1|HAteam01|Team2ID|Team2|score_t2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|HAteam02
345717|381|norwich_city|2|3.22875816993|4.55252100242|0.0|home|366|sunderland|1|3.60784313725|4.40919315032|1.0|away
345718|359|arsenal|0|4.60784313725|6.61374612694|2.0|home|318|swansea_city|2|1.54901960784|3.4977886132|0.0|away
345719|370|fulham|0|3.2091503268|7.44184740116|0.0|home|367|tottenham_hotspur|3|3.50326797386|8.48845750941|0.0|away
345720|361|newcastle_united|3|6.22875816993|7.68539633061|4.0|home|350|wigan_athletic|0|6.71895424837|9.01593180749|3.0|away
345721|368|everton|1|11.2745098039|15.154643066|5.0|home|359|arsenal|1|6.78431372549|7.98850577574|4.0|away
345722|363|chelsea|0|7.75163398693|13.1642619029|0.0|home|370|fulham|0|3.35294117647|7.40823652927|0.0|away
345723|367|tottenham_hotspur|2|5.05882352941|10.6686488931|0.0|home|364|liverpool|1|6.43137254902|13.0623265631|0.0|away
345724|350|wigan_athletic|0|5.86274509804|8.89815933344|1.0|home|382|manchester_city|2|10.0|10.7587933332|8.0|away
345725|336|stoke_city|2|7.55555555556|11.1788133462|3.0|home|361|newcastle_united|1|5.24836601307|6.15303851369|3.0|away
345726|366|sunderland|0|3.70588235294|4.82894642421|1.0|home|334|queens_park_rangers|0|2.09150326797|4.25549929042|0.0|away
345727|318|swansea_city|3|1.83006535948|3.89702559556|0.0|home|383|west_bromwich_albion|1|5.90196078431|7.48922075572|1.0|away
345728|360|manchester_united|1|12.9477124183|14.3617096447|9.0|home|371|west_ham_united|0|1.24836601307|5.22347772584|0.0|away
345729|362|aston_villa|0|2.73202614379|5.4208584516|0.0|home|359|arsenal|0|5.37254901961|6.82927411998|3.0|away
345730|336|stoke_city|1|7.55555555556|11.1788133462|3.0|home|370|fulham|0|3.22222222222|7.42212046425|0.0|away
345731|318|swansea_city|0|1.88235294118|3.86528233581|0.0|home|364|liverpool|0|7.41830065359|12.9718722245|3.0|away
345732|363|chelsea|0|7.75163398693|13.1642619029|0.0|home|382|manchester_city|0|10.6928104575|10.3597266006|9.0|away
345733|368|everton|1|9.67973856209|15.0509607514|2.0|home|381|norwich_city|1|2.88235294118|4.19140292933|0.0|away
345734|360|manchester_united|3|12.9607843137|15.3728741462|9.0|home|334|queens_park_rangers|1|2.21568627451|4.03245198031|0.0|away
345735|366|sunderland|2|4.03267973856|5.5311574988|1.0|home|383|west_bromwich_albion|4|4.72549019608|6.52920567301|0.0|away
345736|367|tottenham_hotspur|3|4.75163398693|10.2187070833|0.0|home|371|west_ham_united|1|1.92156862745|6.10745757761|0.0|away
345737|382|manchester_city|5|9.18954248366|10.4978999668|7.0|home|362|aston_villa|0|2.45098039216|5.3442794246|0.0|away
345738|383|west_bromwich_albion|2|6.43790849673|7.48753217751|3.0|home|363|chelsea|1|7.28104575163|11.9281385979|0.0|away
345739|381|norwich_city|1|2.47058823529|4.09855517908|0.0|home|360|manchester_united|0|14.9477124183|18.6287397788|9.0|away
345740|371|west_ham_united|1|1.96078431373|6.1024824617|0.0|home|336|stoke_city|1|7.40522875817|10.8930858376|3.0|away
345741|370|fulham|1|4.12418300654|8.81866726362|0.0|home|366|sunderland|3|3.8431372549|5.3285734238|1.0|away
345742|361|newcastle_united|1|3.22875816993|4.61950501271|1.0|home|318|swansea_city|2|2.43137254902|4.30042512852|0.0|away
345743|359|arsenal|5|5.56209150327|7.74244735536|3.0|home|367|tottenham_hotspur|2|5.60784313725|10.7041225301|0.0|away
345744|364|liverpool|3|6.58169934641|12.8539378158|1.0|home|350|wigan_athletic|0|7.05882352941|9.47872422824|3.0|away
345745|359|arsenal|3|5.83660130719|7.94051208926|3.0|home|370|fulham|3|4.34640522876|9.69961946659|0.0|away
345746|363|chelsea|1|8.16993464052|13.3165535835|0.0|home|364|liverpool|1|3.47712418301|8.78805262011|0.0|away
345747|362|aston_villa|2|2.47712418301|5.32485228531|0.0|home|360|manchester_united|3|14.3660130719|16.7119978169|9.0|away
345748|336|stoke_city|1|7.90196078431|11.5903750388|3.0|home|334|queens_park_rangers|0|3.13071895425|5.81151978644|0.0|away
345749|368|everton|2|11.2222222222|15.2753474003|2.0|home|366|sunderland|1|3.37254901961|4.9795429259|0.0|away
345750|382|manchester_city|2|7.88235294118|10.2050488443|2.0|home|367|tottenham_hotspur|1|5.27450980392|10.2805325859|0.0|away
345751|350|wigan_athletic|1|7.39215686275|9.46285154698|4.0|home|383|west_bromwich_albion|2|4.86928104575|6.87582941921|0.0|away
