matchid|season|datetime|year
54507|2002-2003|2002-10-19 00:00:00|2002
54508|2002-2003|2002-10-19 00:00:00|2002
54509|2002-2003|2002-10-19 00:00:00|2002
54510|2002-2003|2002-10-19 00:00:00|2002
54511|2002-2003|2002-10-20 00:00:00|2002
54512|2002-2003|2002-10-19 00:00:00|2002
54513|2002-2003|2002-10-20 00:00:00|2002
54515|2002-2003|2002-10-26 00:00:00|2002
54516|2002-2003|2002-10-26 00:00:00|2002
54517|2002-2003|2002-10-26 00:00:00|2002
54518|2002-2003|2002-10-26 00:00:00|2002
54519|2002-2003|2002-10-26 00:00:00|2002
54520|2002-2003|2002-10-26 00:00:00|2002
54521|2002-2003|2002-10-26 00:00:00|2002
54522|2002-2003|2002-10-27 00:00:00|2002
54523|2002-2003|2002-10-27 00:00:00|2002
54524|2002-2003|2002-10-28 00:00:00|2002
54525|2002-2003|2002-11-02 00:00:00|2002
54526|2002-2003|2002-11-02 00:00:00|2002
54527|2002-2003|2002-11-02 00:00:00|2002
54528|2002-2003|2002-11-02 00:00:00|2002
54529|2002-2003|2002-11-02 00:00:00|2002
54530|2002-2003|2002-11-02 00:00:00|2002
54531|2002-2003|2002-11-03 00:00:00|2002
54532|2002-2003|2002-11-02 00:00:00|2002
54533|2002-2003|2002-11-03 00:00:00|2002
54534|2002-2003|2002-11-04 00:00:00|2002
54535|2002-2003|2002-11-09 00:00:00|2002
54536|2002-2003|2002-11-09 00:00:00|2002
54537|2002-2003|2002-11-09 00:00:00|2002
54538|2002-2003|2002-11-09 00:00:00|2002
54539|2002-2003|2002-11-09 00:00:00|2002
54540|2002-2003|2002-11-09 00:00:00|2002
54541|2002-2003|2002-11-09 00:00:00|2002
54542|2002-2003|2002-11-09 00:00:00|2002
54543|2002-2003|2002-11-09 00:00:00|2002
54544|2002-2003|2002-11-10 00:00:00|2002
54545|2002-2003|2002-11-16 00:00:00|2002
54546|2002-2003|2002-11-16 00:00:00|2002
54547|2002-2003|2002-11-16 00:00:00|2002
54548|2002-2003|2002-11-16 00:00:00|2002
54549|2002-2003|2002-11-16 00:00:00|2002
54550|2002-2003|2002-11-16 00:00:00|2002
54551|2002-2003|2002-11-16 00:00:00|2002
54552|2002-2003|2002-11-16 00:00:00|2002
54553|2002-2003|2002-11-16 00:00:00|2002
54554|2002-2003|2002-11-17 00:00:00|2002
54555|2002-2003|2002-11-23 00:00:00|2002
54556|2002-2003|2002-11-23 00:00:00|2002
54557|2002-2003|2002-11-23 00:00:00|2002
54558|2002-2003|2002-11-23 00:00:00|2002
54559|2002-2003|2002-11-23 00:00:00|2002
54560|2002-2003|2002-11-23 00:00:00|2002
54561|2002-2003|2002-11-23 00:00:00|2002
54562|2002-2003|2002-11-23 00:00:00|2002
54563|2002-2003|2002-11-24 00:00:00|2002
54564|2002-2003|2002-11-24 00:00:00|2002
54565|2002-2003|2002-11-30 00:00:00|2002
54566|2002-2003|2002-11-30 00:00:00|2002
54567|2002-2003|2002-11-30 00:00:00|2002
54568|2002-2003|2002-11-30 00:00:00|2002
54569|2002-2003|2002-11-30 00:00:00|2002
54570|2002-2003|2002-11-30 00:00:00|2002
54571|2002-2003|2002-11-30 00:00:00|2002
54572|2002-2003|2002-11-30 00:00:00|2002
54573|2002-2003|2002-12-01 00:00:00|2002
54574|2002-2003|2002-12-02 00:00:00|2002
54575|2002-2003|2002-12-07 00:00:00|2002
54576|2002-2003|2002-12-07 00:00:00|2002
54577|2002-2003|2002-12-07 00:00:00|2002
54578|2002-2003|2002-12-07 00:00:00|2002
54579|2002-2003|2002-12-07 00:00:00|2002
54580|2002-2003|2002-12-07 00:00:00|2002
54581|2002-2003|2002-12-07 00:00:00|2002
54582|2002-2003|2002-12-07 00:00:00|2002
54583|2002-2003|2002-12-07 00:00:00|2002
54584|2002-2003|2002-12-08 00:00:00|2002
54585|2002-2003|2002-12-14 00:00:00|2002
54586|2002-2003|2002-12-14 00:00:00|2002
54587|2002-2003|2002-12-14 00:00:00|2002
